,school_dist,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,sat_score,AP Test Takers ,Total Exams Taken,Number of Exams with scores 3 4 or 5,Cohort,Total Cohort,NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS,SCHOOLWIDE PUPIL-TEACHER RATIO,schoolyear,fl_percent,frl_percent,total_enrollment,grade9,grade10,ell_num,ell_percent,sped_num,sped_percent,asian_num,asian_per,black_num,black_per,hispanic_num,hispanic_per,white_num,white_per,male_num,male_per,female_num,female_per,rr_s,rr_t,rr_p,N_s,N_t,N_p,saf_p_11,com_p_11,eng_p_11,aca_p_11,saf_t_11,com_t_11,eng_t_11,aca_t_11,saf_s_11,com_s_11,eng_s_11,aca_s_11,saf_tot_11,com_tot_11,eng_tot_11,aca_tot_11,grade_span_max,expgrade_span_max,zip,total_students,number_programs,priority08,priority09,priority10,lat,lon
0,1,441.8333333333333,473.3333333333333,439.3333333333333,1354.5,116.68108974358977,173.0192307692308,135.79999999999998,2006.0,93.5,115.24424081035922,5.148538011695907,22.67541510025063,18.7983918128655,26.553044068504594,0.0,20112012.0,0.0,58.98333333333333,668.5,125.33333333333333,109.0,42.166666666666664,10.000000000000002,82.0,17.083333333333332,134.5,17.516666666666666,125.5,22.333333333333332,214.83333333333334,40.73333333333333,186.0,18.45,328.1666666666667,50.050000000000004,340.3333333333333,49.949999999999996,76.5,85.33333333333333,33.166666666666664,525.3680555555555,38.5,239.16666666666666,8.233333333333334,7.8,7.6833333333333345,8.016666666666667,7.066666666666667,6.233333333333333,6.699999999999999,7.5,6.7686111111111105,6.165787037037036,6.736712962962962,7.446898148148148,7.433333333333333,6.816666666666666,7.116666666666667,7.683333333333333,12.0,12.0,10003.166666666666,659.5,1.3333333333333333,0.0,0.0,0.0,40.71902243866714,-73.98237720066633
1,2,426.619092039801,444.1862562189055,424.8328358208955,1295.638184079602,128.908453525641,201.5168269230769,157.4958333333333,1713.4583333333333,158.6478494623656,149.81894900523238,5.686359681394027,25.03811803956493,20.662667246718133,28.59386142547181,0.0,20112012.0,0.0,63.16458333333333,605.6041666666666,183.22916666666666,166.29166666666666,51.625,13.006250000000001,70.77083333333333,13.212499999999997,118.39583333333333,14.479166666666663,141.14583333333334,24.733333333333324,271.4583333333333,49.554166666666696,68.54166666666667,10.05625,266.5,44.71874999999999,339.1041666666667,55.28125,83.3125,86.41666666666667,38.333333333333336,495.1710069444444,31.6875,190.0,8.254166666666665,7.495833333333334,7.379166666666667,7.704166666666668,7.404166666666665,6.520833333333335,7.120833333333333,7.564583333333334,6.910659722222221,6.204056712962963,6.650422453703704,7.385028935185184,7.520833333333333,6.720833333333334,7.037500000000002,7.541666666666665,12.0,12.0,10023.770833333334,621.3958333333334,1.4166666666666667,0.0,0.0,0.0,40.73969949983381,-73.99138567329133
2,3,428.52985074626866,437.99751243781094,426.91567164179105,1293.4430348258709,156.18349358974362,244.52243589743588,193.08749999999998,1504.5,183.38440860215053,156.00599435286935,5.839200498575498,23.71631066849817,19.737592846967846,27.12283145095645,0.0,20112012.0,0.0,58.050000000000004,661.4166666666666,203.25,175.91666666666666,36.916666666666664,9.025000000000002,63.583333333333336,14.5,68.0,6.408333333333334,181.83333333333334,34.0,228.25,44.53333333333333,172.0,13.725000000000001,272.1666666666667,47.95000000000001,389.25,52.04999999999998,83.16666666666667,80.83333333333333,36.166666666666664,519.25,28.166666666666668,206.41666666666666,8.316666666666666,7.541666666666668,7.508333333333333,7.758333333333333,6.675,5.991666666666667,6.533333333333334,6.9916666666666645,6.716666666666666,6.258333333333333,6.6333333333333355,7.374999999999999,7.233333333333334,6.616666666666666,6.891666666666667,7.391666666666666,12.0,12.0,10023.75,717.9166666666666,2.0,0.0,0.0,0.0,40.781574109500475,-73.97737016149965
3,4,402.14285714285717,416.2857142857143,405.7142857142857,1224.142857142857,129.01648351648353,183.8791208791209,151.03571428571428,2006.0,113.85714285714286,132.36226490596235,5.1926103774843275,24.10104841936775,19.740816326530613,27.460290782979857,0.0,20112012.0,0.0,71.00000000000001,569.2857142857143,142.42857142857142,149.14285714285714,21.571428571428573,4.557142857142857,58.57142857142857,13.214285714285714,61.142857142857146,6.128571428571428,151.71428571428572,30.02857142857143,341.57142857142856,61.40000000000001,9.285714285714286,1.3142857142857143,193.28571428571428,30.514285714285712,376.0,69.48571428571428,87.57142857142857,92.71428571428571,41.285714285714285,504.85714285714283,32.42857142857143,193.14285714285714,8.385714285714286,7.6571428571428575,7.499999999999999,7.92857142857143,7.871428571428571,7.042857142857143,7.428571428571429,7.885714285714286,6.885714285714285,6.114285714285714,6.685714285714286,7.571428571428571,7.714285714285714,6.942857142857143,7.185714285714285,7.785714285714286,12.0,12.0,10029.857142857143,580.8571428571429,1.1428571428571428,0.0,0.0,0.0,40.793448842857615,-73.94321519514251
4,5,427.1599147121536,438.2366737739872,419.66609808102345,1285.062686567164,85.72252747252749,115.72527472527473,142.46428571428572,1432.857142857143,143.67741935483872,120.62390109890111,4.8451007326007325,24.290247252747253,20.447527472527472,27.746703296703295,0.0,20112012.0,0.0,58.67142857142858,605.8571428571429,146.14285714285714,127.85714285714286,21.571428571428573,4.157142857142857,59.714285714285715,10.428571428571429,32.714285714285715,7.3,342.57142857142856,49.0,195.57142857142858,36.214285714285715,31.285714285714285,6.714285714285714,300.0,48.47142857142858,305.85714285714283,51.52857142857142,82.85714285714286,79.28571428571429,40.42857142857143,442.42857142857144,27.714285714285715,184.85714285714286,8.085714285714287,7.3428571428571425,7.3571428571428585,7.685714285714285,6.857142857142857,5.885714285714286,6.242857142857142,6.957142857142856,6.314285714285714,6.0,6.428571428571429,7.285714285714286,7.0857142857142845,6.414285714285714,6.671428571428571,7.314285714285715,12.0,12.0,10030.142857142857,609.8571428571429,1.1428571428571428,0.0,0.0,0.0,40.81707656500047,-73.94925139814252
5,6,382.0119402985075,400.565671641791,382.06626865671643,1164.643880597015,108.71153846153848,159.7153846153846,105.425,1203.6,180.8483870967742,139.04170891973524,5.285859520596363,25.324198621553883,20.556125971981235,29.21787160208213,0.0,20112012.0,0.0,84.25,621.8,166.3,153.8,165.7,30.04,80.1,14.95,7.8,0.8099999999999999,82.0,11.47,523.9,86.37999999999998,5.0,0.72,333.6,53.79,288.2,46.21,85.0,83.5,54.6,482.3,33.0,261.5,8.53,7.990000000000002,7.749999999999998,8.05,7.49,6.609999999999999,7.06,7.659999999999999,6.95,6.15,6.7,7.510000000000001,7.659999999999999,6.919999999999999,7.17,7.76,12.0,12.0,10036.2,628.9,1.3,0.0,0.0,0.0,40.84896996940048,-73.93250229019965
6,7,376.46153846153845,380.46153846153845,371.9230769230769,1128.8461538461538,73.70340236686391,112.47633136094676,105.27692307692308,1851.6923076923076,105.60545905707197,97.59741647241647,4.146610334110334,23.56003676878677,19.39446525696526,27.004051504051503,0.0,20112012.0,0.0,79.63076923076923,481.0,117.38461538461539,116.61538461538461,72.0,16.661538461538463,84.84615384615384,17.446153846153845,8.0,1.7076923076923074,144.46153846153845,29.253846153846155,322.0,67.6076923076923,3.769230769230769,0.8,261.7692307692308,53.13846153846154,219.23076923076923,46.86153846153846,80.53846153846153,77.15384615384616,42.92307692307692,376.2307692307692,25.846153846153847,187.6153846153846,8.423076923076922,7.761538461538461,7.6,7.907692307692306,6.9692307692307685,6.315384615384615,6.784615384615384,7.284615384615384,6.800000000000001,6.184615384615385,6.6461538461538465,7.453846153846153,7.392307692307693,6.746153846153846,7.007692307692308,7.553846153846154,12.0,12.0,10452.692307692309,465.84615384615387,1.4615384615384615,0.0,0.0,0.0,40.81681483861586,-73.9199714805381
7,8,386.21438263229305,395.5427408412483,377.9080054274084,1159.6651289009499,118.37937062937063,168.02097902097907,144.7318181818182,1458.909090909091,215.51026392961876,129.76509854954128,5.165710386105122,23.81319229403208,19.38535469948009,27.36214127719546,0.0,20112012.0,0.0,76.66363636363634,684.5454545454545,231.8181818181818,168.8181818181818,72.9090909090909,15.79090909090909,140.54545454545453,19.60909090909091,30.272727272727273,2.809090909090909,179.8181818181818,27.809090909090912,433.54545454545456,66.10909090909091,36.18181818181818,2.5545454545454547,355.0,45.45454545454545,329.54545454545456,54.54545454545455,69.45454545454545,77.63636363636364,36.63636363636363,459.83712121212125,34.0,148.54545454545453,8.172727272727272,7.636363636363637,7.454545454545454,7.718181818181819,7.1090909090909085,6.254545454545453,6.781818181818181,7.390909090909091,6.364696969696968,5.954065656565657,6.4018434343434345,7.143762626262627,7.218181818181819,6.645454545454545,6.863636363636363,7.409090909090909,12.0,12.0,10467.0,547.6363636363636,1.2727272727272727,0.0,0.0,0.0,40.8238031502732,-73.86608739018146
8,9,373.7559701492537,383.5828358208955,374.6331343283582,1131.9719402985074,71.41153846153847,104.26538461538465,98.47000000000001,1705.1,113.33064516129032,100.11858848667671,4.335503618113913,23.98637927350427,19.543005458593694,28.447127639517344,0.0,20112012.0,0.0,76.8,442.8,123.1,106.25,78.9,19.945,74.15,16.654999999999998,7.0,1.48,151.9,33.11,278.25,64.135,3.0,0.6649999999999999,220.7,48.99499999999999,222.05,50.995000000000005,84.2,84.65,40.65,349.15,25.45,162.3,8.510000000000002,7.9300000000000015,7.754999999999998,8.08,6.935,6.305000000000001,6.904999999999999,7.355000000000001,6.654999999999999,6.145,6.705,7.49,7.364999999999999,6.794999999999999,7.109999999999999,7.664999999999999,12.0,12.0,10456.1,449.7,1.15,0.0,0.0,0.0,40.83634865645048,-73.90624017769963
9,10,403.3636363636364,418.0,400.8636363636364,1222.2272727272727,132.2312062937063,226.91433566433568,191.6181818181818,2006.0,161.3181818181818,168.87652567161084,6.512691384982406,24.244350372494726,18.897297484507238,28.58386004690185,0.0,20112012.0,0.0,72.26818181818182,818.5454545454545,228.04545454545453,198.4090909090909,129.0909090909091,18.177272727272726,99.04545454545455,13.622727272727275,119.68181818181819,6.631818181818182,169.0909090909091,23.027272727272727,453.54545454545456,63.27272727272726,71.4090909090909,6.527272727272726,413.1818181818182,48.58636363636364,405.3636363636364,51.41363636363636,82.72727272727273,82.13636363636364,43.0,648.7727272727273,43.5,303.59090909090907,8.272727272727272,7.7681818181818185,7.622727272727272,7.927272727272729,6.972727272727273,6.154545454545453,6.7,7.309090909090909,6.577272727272727,6.040909090909093,6.654545454545455,7.409090909090909,7.268181818181817,6.645454545454545,6.986363636363635,7.536363636363637,12.0,12.0,10463.181818181818,757.8636363636364,1.5,0.0,0.0,0.0,40.870345318409576,-73.89835998022694
10,11,389.8666666666667,394.53333333333336,380.6,1165.0,83.81346153846154,122.48461538461541,108.83333333333334,2006.0,122.86666666666666,129.03103145936737,5.037051902632397,24.956523002768357,19.784469384244925,29.52354894589415,0.0,20112012.0,0.0,66.96000000000001,562.4666666666667,193.0,155.53333333333333,61.666666666666664,12.13333333333333,105.6,17.38,19.8,3.8466666666666662,243.0,41.34666666666667,278.26666666666665,50.84666666666667,16.4,3.1133333333333337,319.8666666666667,55.89999999999999,242.6,44.1,80.4,79.93333333333334,42.46666666666667,400.73333333333335,27.466666666666665,190.8,8.053333333333333,7.6933333333333325,7.546666666666668,7.826666666666665,7.026666666666666,6.766666666666666,6.999999999999999,7.540000000000001,6.1866666666666665,5.746666666666666,6.26,7.213333333333334,7.086666666666665,6.74,6.94,7.526666666666666,12.0,12.0,10467.933333333332,563.6666666666666,1.5333333333333334,0.0,0.0,0.0,40.873138329133795,-73.85611953619964
11,12,364.7699004975124,379.1094527363184,357.94378109452737,1101.8231343283583,93.1025641025641,139.44230769230774,153.45000000000002,1504.5,110.46774193548386,91.68450410313801,4.15186533560179,22.212077603017036,18.48731245105084,25.804834326535175,0.0,20112012.0,0.0,81.73333333333333,391.0,112.83333333333333,107.0,105.5,27.14166666666667,70.66666666666667,17.21666666666667,5.5,1.5916666666666666,109.75,28.075000000000003,271.75,69.275,3.0,0.8250000000000002,199.91666666666666,50.13333333333335,191.08333333333334,49.86666666666665,80.0,79.75,49.166666666666664,277.3333333333333,21.166666666666668,163.08333333333334,8.65,8.008333333333335,7.808333333333334,8.166666666666666,7.266666666666668,6.758333333333333,7.25,7.816666666666667,7.116666666666667,6.566666666666667,7.116666666666666,7.783333333333334,7.666666666666667,7.1000000000000005,7.391666666666667,7.916666666666665,12.0,12.0,10463.166666666666,409.0,1.0833333333333333,0.0,0.0,0.0,40.83141226741713,-73.88694636583297
12,13,409.3938002296211,424.12743972445463,403.6663605051665,1237.1876004592423,232.9319526627219,382.70414201183434,320.77307692307687,1697.3846153846155,224.59553349875932,218.30605514031623,8.00384158127073,24.621783576297748,19.625240739916855,28.672264858398464,0.0,20112012.0,0.0,63.861538461538466,902.0,237.3846153846154,231.53846153846155,35.46153846153846,8.723076923076924,65.6923076923077,12.084615384615386,272.46153846153845,10.453846153846154,416.0,68.47692307692307,110.0,16.27692307692308,96.23076923076923,3.623076923076922,482.7692307692308,48.70769230769231,419.2307692307692,51.29230769230769,84.15384615384616,77.61538461538461,35.76923076923077,759.8461538461538,40.0,318.38461538461536,8.330769230769231,7.700000000000001,7.6923076923076925,7.884615384615385,7.092307692307691,6.8307692307692305,7.069230769230769,7.6,6.407692307692307,6.069230769230769,6.576923076923077,7.376923076923077,7.269230769230769,6.86923076923077,7.1230769230769235,7.607692307692307,12.0,12.0,11207.153846153846,895.1538461538462,2.076923076923077,0.0,0.0,0.0,40.692864560077396,-73.97701599069195
13,14,395.93710021321965,398.1897654584222,385.33304904051175,1179.4599147121535,77.79807692307693,114.8736263736264,123.28214285714287,1862.7142857142858,112.34792626728111,123.64372819640677,4.905127114948543,24.311291208791207,19.554945054945055,28.511594060701203,0.0,20112012.0,0.0,75.92857142857143,556.2142857142857,164.92857142857142,137.42857142857142,57.785714285714285,9.485714285714286,97.71428571428571,18.599999999999998,19.5,3.8714285714285714,222.42857142857142,42.228571428571435,291.92857142857144,49.66428571428572,18.714285714285715,3.507142857142857,324.7142857142857,58.050000000000004,231.5,41.942857142857136,77.71428571428571,85.5,35.07142857142857,395.64285714285717,32.42857142857143,158.21428571428572,8.357142857142858,7.864285714285715,7.7357142857142875,7.971428571428571,7.2714285714285705,6.6499999999999995,7.257142857142857,7.735714285714287,6.685714285714285,6.207142857142857,6.742857142857143,7.507142857142859,7.435714285714286,6.9142857142857155,7.25,7.750000000000001,12.0,12.0,11210.785714285714,545.3571428571429,2.0,0.0,0.0,0.0,40.7115993947862,-73.94835999728535
